,text,emotion_label,stress_label
0,anxious banget sebelum meeting tadi sih di kantor sama dia,anxious,0.8
1,kehilangan semangat buat ngapa ngapain tapi yaudahlah pas perjalanan,sad,0.64
2,takut gagal di presentasi besok tapi yaudahlah di kampus sama temen kantor,anxious,0.81
3,akhir minggu ini seru banget serius tadi pagi sama dia,happy,0.16
4,makan favorit hari ini bikin bahagia wkwk sama keluarga,happy,0.11
5,anxious banget sebelum meeting tadi jujur aja sama keluarga,anxious,0.94
6,takut gagal di presentasi besok wkwk pas perjalanan sama keluarga,anxious,0.71
7,akhir minggu ini seru banget wkwk di kampus sama dia,happy,0.17
8,udah sabar tapi masih dibohongin banget tadi pagi sama dia,angry,0.7
9,deg degan nunggu hasil pengumuman dan kepikiran terus bareng temen sama dia,anxious,0.94
10,capek sama keadaan sekarang sumpah di kampus,sad,0.62
11,marah banget karena kerjaan berantakan serius tadi pagi sama temen kantor,angry,0.69
12,deg degan nunggu hasil pengumuman sumpah bareng temen sama temen kantor,anxious,0.95
13,tadi pagi pergi sebentar ke minimarket hari ini pas perjalanan sama dia,neutral,0.26
14,geram banget sama pelayanan tadi wkwk sama dia,angry,0.84
15,seneng banget hari ini ketemu temen lama banget pas perjalanan sendiri,happy,0.08
16,ngerasa sendirian akhir akhir ini dari tadi kepikiran di rumah sama temen kantor,sad,0.73
17,rasanya kosong aja hari ini wkwk di kampus sendiri,sad,0.7
18,kepikiran banyak hal sampai susah tidur agak random sih tadi pagi sama keluarga,anxious,0.79
19,kepikiran banyak hal sampai susah tidur banget asli di kantor sama dia,anxious,0.9
20,takut kalau hasilnya jelek dari tadi kepikiran bareng temen,anxious,0.89
21,takut gagal di presentasi besok jujur aja di rumah sama dia,anxious,0.97
22,kepikiran banyak hal sampai susah tidur agak random sih di rumah,anxious,0.98
23,marah banget karena kerjaan berantakan banget asli,angry,0.94
24,dapat kabar baik dari keluarga tadi pagi dan kepikiran terus waktu malam sama keluarga,happy,0.11
25,habis beresin kamar dan lanjut kerja tapi yaudahlah di kantor sendiri,neutral,0.23
26,bingung dan takut ambil keputusan serius di kantor sendiri,anxious,0.98
